question,answer
写出两种不同媒质分界面上恒定电场与恒定磁场的边界衔接条件。,恒定电场的边界衔接条件 J*dS=0 E*dl=0  恒定磁场的边界衔接条件 B*dS=0 H*dl=I 
什么是矢量磁位 A? 什么是磁感应强度 B? ,B=0 B=*A(*A)=0，矢量磁位 A 是一个辅助性矢量。磁感应强度 B 是描述磁场强弱和方向的基本物理量
什么是磁导率 ? 什么是介电常数 ? ,表示磁介质磁性的物理量。介质在外加电场时会产生感应电荷而削弱电场，原外加电场（真空中）与最终介质中电场比值即为介电常数
静止电荷产生的电场，称之为静电场场。它的特点是,有散无旋场，不随时间变化 。
高斯定律说明静电场是一个,有散场。
安培环路定律说明磁场是一个,有旋场。
电流密度是一个矢量，它的方向与什么相同,导体中某点的正电荷的运动方向相同。
磁通连续性原理说明磁场是一个,无散场。
安培环路定律则说明磁场是一个,有旋场。
恒定电场是一种,无散和无旋的场。
在恒定电流的周围，同时存在着,恒定电场和恒定磁场。
电荷与电荷之间的作用力是通过什么传递的。,电场
电场强度定义,没有电场中某 P 点，置一带正点的实验电荷 q0，电场对他的作用力为 F，则电场强度（简称场强） E=limq0→0F/q0
功只与两端点有关。电场力所作用的功与路径的关系。,无关
静电平衡状态,第一，导体内的电场为零， E=0。第二，静电场中导体必为一等位体，导体表面必为等位面。第三，导体表面上的 E 必定垂直于表面。第四，导体如带电，则电荷只能分布于其表面（不是分布在内部）
静电场中的电介质,不是导体也不是完全绝缘介质。
电介质对电场的影响可归结为,极化后极化电荷或电偶极子在真空中产生的作用。
等相位面或波阵,在电磁波的传播过程中，对应于每一时电场 E 或磁场 H 具有相同相位的点构成。
平面电磁波,等相位面为平面的电磁波。
均匀平面电磁波,如果在平面电磁波的等相位面的每一点上，电场 E 的相同，磁场 H 也均相同
电磁波在理想介质中的传播速度与在自由空间中的传播速度相比。,电磁波在理想介质中的传播速度小于在自由空间中的传播速度。
对于入射波来说，空间任意点在每一瞬时的电场能量密度和磁场能量密度的关系。,相等
在理想介质中电磁波能量流动的方向与波传播的方向关系,方向一致
入射波中电磁能量以怎样的速度沿波前进方向流动。,与波传播速度 v 相同的速度
在无限大理想介质中，相速和波速相等，且与什么无关。,频率
电力系统的概念,发电厂中的电气部分、各类变电所、输配电线路及各种类型的用电器组成的整体
按电压等级的高低，电力网可分为,1低压电网（<1kv） 2中低电网（1<V<10kv）  3高压网（35kv<V<220kv） 4、超高电网（330~750KV）  5、特高压网（V>1000kv） 
我国电力系统常用的4种接地方式,1.中性点接地 2.中性点经消弧线圈接地 3.中性点直接接地4.中性点经电阻的电抗接地     
小电流接地方式优点,①可靠性能高 ②单相接地时，不易造成人身或轻微轻微的人身和设备安全事故 
小电流接地方式缺点,经济性差、容易引起谐振，危及电网的安全运行。
大接地电流方式优点,①能快速的切除故障、安全性能好 ②经济性好。
大接地电流方式缺点,系统供电可靠性差（任何一处故障全跳） 
大接地电流方式包含,中性点直接接地，中性点经电阻的电抗接地
小接地电流方式包含,中性点接地 中性点经消弧线圈接地 
消弧线圈的工作原理,在单相接地时，可以线圈的电流Il补偿接地点的容性电流消除接地的不利影响   
架空线路的组成,①导线、②避雷线、③杆塔、④绝缘子、⑤金具 
电力网的参数一般分为两类，分别说明,一类是由元件结构和特性所决定的参数，称为网络参数，如R、G、L等；另一类是系统的运行状态所决定的参数，称为运行参数，如I、V、P等。 
分裂导线用在什么场合，有什么用处？, 一般用在大于350kv的架空线路中。可避免电晕的产生和增大传输容量。  
三绕组变压器的绕组排列方式,①中、高、低  ②低、中、高    
标么值：是指实际有名值与基准值得的比值。优点是可以用来简化计算，缺点是什么,同一实际值可能对应着多个不同的标么值。
短路的定义与形式,短路指一切不正常的相与相之间的或相与地面之间的通路。 形式：①三相电路、②单相短路接地、③两相短路、④两相短路接地。 
短路计算的任务,①在选择电气设备时，要保证电气设备要有足够的动稳定性和热稳定性，这都要以短路计算为依据。②为了合理地配置各种继电保护装，并正确整定其参数，必须进行短路电流的计算。③在设计发电厂的变电所的主接线时，需要对各种可能的设计方案进行详细的技术经济比较，以便确定最优设计方案，这也要以短路计算为依据。④进行电力系统暂态稳定的计算，也包含一些电流计算的内容。 
无穷大电源的定义和特点,无穷大电源是一种为了理论上简化分析的需要，所假定的可以输出无穷大的功率的电源。特点：①电源频率和电压保持不变、②电源的内阻为零。 
短路要做的假设,①由无穷大电源供电、②短路前处于稳态、③电路三相对称。 
短路电流实际上包括两个分量，分别说明,①是周期性分量，即稳态短路电流，它是短路电流中的强迫分量，其幅值Im取决于电源电动势的幅值和电路参数。②是非周期分量，它是短路电流中的自由分量，按指数形式衰减。 
短路冲击电流的定义：是指短路电流中最大可能的瞬时值，同非周期分量有关。 
对称分量法的定义,是将一组不对称的三相量看成三组不同的对称三相量之和。三相量为：①正序分量：各相量的绝对值相等、相互之间有120°的相位，且与系统在正常对称运行下的相序相同。Ib1=Ia1•e-j120、Ic1= Ia1•ej120; ②负序分量：各相量的绝对值相等，相互之间有120°的相位差但与正常运行时的相许相反，以A相为基准相，有Ib2=Ia2•ej120、Ic2=Ia2•ej-120；③零序分量：各相量的绝对值相等，相位相同，也即Ia0=Ib0=Ic0。 
力系统元件的序参数的定义,同步发电机的负序和零序阻性抗（：类正型序、电参抗数、等负）序是电否抗大、致零相序同电抗 。发电机到短路点的电气距离是否大致相等。 
非全相断线的定义,是指一相断线和两相断线的非全线断线形式。非全相断线的运行是在故障口出现了某种不对称状态，系统的其余某部分的参数还是三相对称的，可以运用对称分量法进行分析。 
介绍潮流计算的几个量,①电压降落：指供电支路首末端电压的相位差；②电压损耗：指供电支路首末端两端电压的数量差，即为（U1-U2）；③电压偏移：指电网中某点的实际电压U与其额定电压UN之差，有时用百分数表示，即：电压偏移=（U-Un）/Un*100% ; ④电压调整：指线路末端在空载时的电压U20与负载时的电压U2的数量差。由于输电线路的电容效应，特别是超高压输电线路的电容效应，在空载时线路末端电压值上升较大。 
电源输出的功率由两部分组成，分别介绍,①一部分与负荷和线路阻抗有关、②第二部分与负荷无关，只与两端电源的电压差和线路阻抗有关，称为循环功率。 
通过对负荷节点的功率流向的分析会发现什么,①有的负荷只需要单方向提供电力就能满足负荷供电的要求，②而有的负荷必须从两个方向或两个以上方向同时同时提供电力才能满足负荷的供电要求。这种必须同时从两个方向或以上提供电力才能满足负荷供电要求的负荷节点，称为功率分点。 
闭式网络中电压最低点的判断方法,功率分点就是整个电力网电压的最低点。①在较高电压级的电网中，由于X>>R，此时电压最低点往往是无功功率分点。②在较低电压级的电网中，由于R>>X，此时电压最低点往往是有功功率分点。 
潮流计算的主要内容,①电流和分布的计算、②节点电压和电压损耗的计算、③功率损耗的计算。 
对每个节点i来讲，通常有四个变量,①发电机发出的有功功率和无功功率、②电压幅值和相位 
根据电力系统的实际运行条件，一般将节点分为哪三种类型,①PQ节点：这类节点P和Q是给定的，节点电压（幅值、相位）是待求量。电力系统中的绝大多数节点属于这一类型。②PU节点：这类节点是P和U是给定的，节点的Q和电压的相位待求。③平衡节点：平衡节点只有一个，它的电压幅值U和相位已给定，P和Q为待求量。 
平衡节点的定义,在潮流分布算出之，网络中的功率损耗是未知的。因此网络中至少有一个节点的P不能给定，这个节点承担了系统的有功功率平衡，故称为平衡节点。
基准节点的定义,必须选定一个节点，指定电压相位为0，作为计算各点电压相位的参考。这个节点称为基准节点。
介绍几种常见的无功功率电源,①同步发电机、②同步调相机及同步电动机、③并联电容器、④静止无功功率补偿器svc、⑤ 高压输电线的充电功率。 
变压器的分接头的定义,一般设在高压和中压绕组上。对于6300kv•A 及以下的变压器中，高压侧有三个分接头。每个分接头可使电压变化5%，各分接头电压分别为：0.95Un、Un、1.05Un。对于容量为8000kv•A 及以上的变压器，高压侧有5个分接头。各分接头电压分别为：0.95Un、0.975Un、Un、1.025Un、1.05Un，记为：Un（+/-）2*2.5%
绕组变压器的定义和使用方法,三绕组变压器除高压侧有分接头外，一般中压侧也有分接头可供选择。首先根据低压侧母线的调压要求，在高—低压绕组之间进行计算，选取高压侧的分接头电压，即变比 Uth/Un;然后根据中压侧母线的调压要求及选取的高压侧分接头电压Uth在高—中压侧绕组之间进行计算，选取中压侧的分接头电压Utm。确定变比为Uth/Utm/Un1 
介绍频率的一次调整,当负荷波动时，将引起频率的变化。这时发电机组的出力在调速器的作用下，也将作适当的调整；负荷从系统中吸收的实际功率也将作一定调整，从而在新的频率下，达到新的功率平衡。 
介绍频率的二次调整,一次调整是由调速器来调节，其结果是发电机增加的输入功率小于实际增加的负荷功率，此时频率仍旧小于fn。为了使系统稳定运行在fn下，此时用自动调频装置去调整，使发电机的静态曲线向上平移，直至系统发电机组的输入功率能符合负荷功率的增长的需要使系统频率运行于fn上。   
序参数的定义,对称的三相电路中流过不同序列的电流时，所遇到的阻抗是不同的，然而同一相序的电压和电流间仍符合欧姆定律。 
降低网损的技术措施,①提高用户处的功率因数，避免无功功率还距离传送；②在闭式网络中实行功率经济分布；③组织变压器经济运行; ④合理组织各发电厂经济运行；⑤合理选择导线的截面积；⑥调整用户的负荷曲线，调峰节电。⑦合理安排检修计划；⑧适当提高电力网的运行电压水平。 
等微增率准则的定义,就是运行的发电机组按微增率相等的原则来分配负荷，这样就是使系统总的燃料消耗为最小，从而是最经济的。 
提高电力系统静态稳定性的措施,①减小元件的电抗、②采用自动调节励磁装置、③改善系统的结构和采用中间补偿设备。 
组合电路电路的定义与结构特点,电路在任一时刻输出仅取决于该时刻的输入，而与电路原来的状态无关。只有门电路，不含存储（记忆）单元。
编码器的逻辑功能,把输入的每一个高、低电平信号编成一个对应的二进制代码。
优先编码器的定义,几个输入信号同时出现时，只对其中优先权最高的一个进行编码。
译码器的逻辑功能,输入二进制代码，输出高、低电平信号。
数据选择器的定义,从一组输入数据中选出某一个输出的电路，也称为多路开关。
分类介绍加法器,半加器：不考虑来自低位的进位的两个1位二进制数相加的电路。全加器：带低位进位的两个 1 位二进制数相加的电路。超前进位加法器与串行进位加法器相比虽然电路比较复杂，但其速度快。
数值比较器的定义,比较两个数字大小的各种逻辑电路。
组合逻辑电路中的竞争一冒险现象的定义,竞争：门电路两个输入信号同时向相反跳变(一个从1变0，另一个从0变1)的现象。竞争-冒险：由于竞争而在电路输出端可能产生尖峰脉冲的现象。消除竞争一冒险现象的方法：接入滤波电容、引入选通脉冲、修改逻辑设计
原码、反码、补码之间的转换方法,原码，就是用最高位表示数符(0表示正数、1表示负数)。正数，原码=反码=补码；负数，反码：除符号位以外，对原码逐位取反；补码：反码+1
已知某存储器标有1K×4字样，回答下列问题：（1）该存储器有几条地址线？（2）该存储器能存储多少个字？（3）每个字长是几位？（4）该存储器有几条数据线？（5）该存储器的容量是多少位,（1）10条地址线。，（2）1024个字。，（3）4位，（4）4条，（5）4096位
ROM由哪几部分组成？各部分的作用是什么？,ROM由地址译码器、存储矩阵及输出缓冲器三部分组成。地址译码器的作用是将输入地址码译成相应的控制信号，该控制信号从存储矩阵中把对应单元的信息送到输出。存储矩阵的作用是存储二进制信息。输出缓冲器作用有二个。一是提高负载能力，二是实现对输出的三态控制。
在PROM、EPROM、E2PROM及Flash Memory四种存储器中，可用光改写的是哪种？,是EPROM
哪些类型的ROM可用来设计组合电路？组合电路的输入变量及输出变量如何安排？,EPROM、E2PROM及Flash Memory都可以用来设计组合电路。输出变量安排在ROM的地址端，输出变量安排在数据端。
根据存储数据原理的不同，RAM可分为哪几种？它们存储数据的原理分别是什么？,可分为静态RAM和动态RAM两种。静态RAM靠触发器存储数据。动态RAM是利用MOS管栅极电容存储电荷的原理制成的。
介绍逻辑门电路,在逻辑代数中，最基本的逻辑运算有与、或、非三种。每种逻辑运算代表一种函数关系，这种函数关系可用逻辑符号写成逻辑表达式来描述，也可用文字来描述，还可用表格或图形的方式来描述。最基本的逻辑关系有三种：与逻辑关系、或逻辑关系、非逻辑关系。实现基本逻辑运算和常用复合逻辑运算的单元电路称为逻辑门电路。例如：实现“与”运算的电路称为与逻辑门，简称与门；实现“与非”运算的电路称为与非门。逻辑门电路是设计数字系统的最小单元。
介绍与运算,“与”运算是一种二元运算，它定义了两个变量 A 和 B 的一种函数关系。用语句来描述它，这就是：当且仅当变量 A 和 B 都为 1 时，函数 F 为 1；或者可用另一种方式来描述它，这就是：只要变量 A 或 B 中有一个为 0，则函数 F 为 0。“与”运算又称为逻辑乘运算，也叫逻辑积运算。
介绍或运算,“或”运算是一种二元运算，它定义了变量 A、B 与函数 F 的另一种关系。用语句来描述它，这就是：只要变量 A 和 B 中任何一个为 1，则函数 F 为 1；或者说：当且仅当变量A 和 B 均为 0 时，函数 F 才为 0。“或”运算又称为逻辑加，也叫逻辑和。其运算符号为“＋”。
介绍非运算,逻辑“非”运算是一元运算，它定义了一个变量（记为 A）的函数关系。用语句来描述之，这就是：当 A=1 时，则函数 F=0；反之，当 A=0 时，则函数 F=1。非运算亦称为“反”运算，也叫逻辑否定。
介绍与非门,“与”运算后再进行“非”运算的复合运算称为“与非”运算，实现“与非”运算的逻辑电路称为与非门。
介绍或非门,“或”运算后再进行“非”运算的复合运算称为“或非”运算，实现“或非”运算的逻辑电路称为或非门。
介绍异或门,对于二输入变量的“异或”逻辑，当两个输入端取值不同时，输出为“1”；当两个输入端取值相同时，输出端为“0”。实现“异或”逻辑运算的逻辑电路称为异或门。
介绍同或门,“异或”运算之后再进行“非”运算，则称为“同或”运算。实现“同或”运算的电路称为同或门。
真值表定义,表征逻辑事件输入和输出之间全部可能状态的表格。在表中通常以1表示真，0表示假。真值表是在逻辑中使用的一类数学表，用来确定一个表达式是否为真或有效。
最小项定义,设有n个变量，若m为包含全部n个变量的乘积项（每个变量必须而且只能以原变量或反变量的形式出现一次）则称m为该组变量的最小项。
最小项特点,(1)每个最小项均含有三个因子（n个变量则含n个因子）(2)每个变量均为原变量或反变量的形式在乘积项中出现一次(3)n个变量有2n个最小项
代入规则的定义,在任何一个逻辑等式中，如果将等式两边同时出现某一变量Ａ的地方，都用一个函数Ｌ表示，则等式仍然成立，这个规则称为代入规则
介绍约束项、任意项和无关项。,约束项和任意项是两个不同的概念。在分析一个逻辑函数时经常会遇到这样一类情况，就是输入逻辑变量的某些取值始终不会出现，在这些取值下等于1的那些最小项将始终为0。这些取值始终为0的最小项，就叫做该函数的约束项。有时还可能遇到另外一种情况，就是在输入变量的某些取值下，逻辑函数值等于1还是等于0都可以，对电路的逻辑功能没有影响，在某些变量取值下等于1的那些最小项，就叫做这个逻辑函数的任意项。约束项和任意项统称为逻辑函数式中的无关项，这些最小项是否写入逻辑函数式无关紧要，可以写入也可以删除。
计算TTL门电路输入端并联的总输入电流时，为什么有时按输入端的数目加倍，有时按门的数目加倍。,与逻辑关系是通过T1的多发射极结构实现的，当n个输入端并联时，若输入为低电平，输入电流为流过T1基极的电阻R1的电流(Vcc-VB1)/R1；而输入为高电平时，T1工作在倒置放大状态，相当于n个倒置放大的三极管并联，所以输入电流为单个输入端高电平输入电流的n倍。 
为什么TTL电路的推拉式输出结构的输出电阻都很小。,当输出为低电平时，输出端的晶体三极管T4 截止，T5饱和导通，其输出电阻很小。当输出为高电平时，T5截止，T4工作在射极输出状态，输出电阻也很小。
使用中规模集成器件设计组合逻辑电路时，如何选择器件的类型。,用n位地址输入的数据选择器，可以产生任何形式的输入变量数不大于n+1的组合逻辑函数。可以把数据选择器看作通用组合逻辑函数发生器，但它只有一个输出端，只能用于产生单输出逻辑函数。二进制译码器是通用的最小项发生器，要用附加的或门（或与非门）将所需的那些最小项相加，就可以得到所需要的逻辑电路了。n位二进制译码器可以产生输入变量数不大于n的组合逻辑函数。加法器的逻辑功能是将两个（或两组）输入按二进制数的数值相加。若要产生的函数能化成输入变量与输入变量或输入变量与常量在数值上相加的形式，可用加法器实现。数值比较器的逻辑功能是比较两个输入二进制代码的数值，给出大于、小于和相等的输出信号。只能用来判断两个代码是否相同或者数值的大小关系。编码器是把每个输入端的高、低电平信号转换为一个对应的输出代码，因此只能用在需要把一组开关信号转换为一组二进制代码的地方。
逻辑图形符号输入端的小圆圈的含义，怎样分析这种图形符号的逻辑功能。,在某些具体的逻辑电路中，有的输入逻辑变量是以低电平作为有效信号的。这时为了强调“低电平有效”，便在信号输入端画上小圆圈，并在信号名称上加“非”号。从逻辑功能上讲，这个小圆圈所代表的含义是输入信号经过反向后才加到后边的逻辑符号上的，所以它代替了输入端的一个反相器。	在分析这类逻辑图形符号的功能时，只要用反相器代替输入端的小圆圈就可以了。
触发器的分类方法和各自的特点。,按电路结构形式分为基本RS触发器、同步RS触发器、主从触发器、维持阻塞触发器和CMOS边沿触发器。电路结构不同，它们的动作特点不同。按逻辑功能分为RS触发器、D触发器、JK触发器和T触发器等。逻辑功能不同，信号的输入方式以及触发器状态随输入信号变化的规律不同。根据存储原理分为静态和动态触发器。静态触发器靠电路的自锁存储数据，动态触发器是通过MOS管栅极输入电容上存储电荷来存储数据的。
触发器的电路结构和逻辑功能之间的关系。,触发器的电路结构和逻辑功能是两个不同的概念，两者没有固定的对应关系。同一逻辑功能的触发器可以用不同的电路结构实现，电路结构不同，动作特点不同；用同一种电路结构形式可以实现不同的逻辑功能的触发器。例如：有同步RS触发器、主从RS触发器、维持阻塞结构RS触发器，它们在稳态下的逻辑功能相同，但电路结构不同，动作特点不同。又如维持阻塞结构可以做成D触发器，也可做成JK触发器。
主从结构触发器的动作特点,主从触发器翻转分两步完成：CP=1时，主触发器接收输入信号，置成相应状态；CP下降沿从触发器翻转。主触发器是一个同步触发器，在CP=1的全部时间里输入信号都对主触发器起控制作用。主从RS触发器，CP=1期间主触发器可以变化多次。主从JK触发器，由于Q和/Q接回到了输入门，在Q=0时主触发器只接受置1输入信号，Q=1 时主触发器只接受置0信号， 使得CP=1期间主触发器只能变化一次。因此在CP=1期间输入信号发生过变化后，从触发器的状态不一定决定于CP下降沿时的输入状态值，必须考虑CP=1整个期间的输入信号的变化过程。
时序逻辑电路的结构中为什么必须含有一个存储电路，而且存储电路的输出还必须与输入变量一起决定电路的输出。,时序逻辑电路区别于组合逻辑电路的根本特征在于它任意时刻的输出不仅取决于当时的输入，而且还取决于电路原来的状态。为了实现上述逻辑功能，时序电路就必须有记忆能力，把电路原来的状态保存下来，这就需要用存储电路。同时，为了使输出“不仅取决于当时的输入，而且取决于电路原来的状态”，那么就必须将存储器的输出加到输出电路上，与输入的逻辑信号共同决定输出的逻辑状态。
可以说CP信号是计数器的输入逻辑变量吗？,计数器的工作过程是每次时钟脉冲到来后便按照状态转换图一次从一个状态转换为下一个状态。时钟脉冲只是让计数器从一个状态转到下一个状态的操作信号，而计数器的具体状态与时钟信号没有任何逻辑关系。因此，时钟信号不是输入逻辑变量。
设计实际时序电路时的逻辑抽象。,时序电路的逻辑功能上的特点是任意时刻的输出不仅取决于当时的输入，同时还取决于电路所处的状态，这就要求逻辑函数能描述逻辑事件的全部过程。为此，逻辑抽象工作必须包括以下内容：1）确定所设计电路的输入变量和输出变量。2）通过对逻辑要求的分析，找出在事件发生过程中所可能出现的逻辑状态。这些状态需要分别用电路的状态表示，即逻辑状态的数目就是电路必须具备的状态数。3）定义输入、输出逻辑状态的含义，并将逻辑状态编码。4）分析设计要求，找出每个逻辑状态在各种可能的输入信号下的输出状态和应当转到的次态。
施密特触发器和各种触发器的区别。,“施密特触发器”是“Schmitt  Trigger”，而各种“触发器”是“Flip-Flop”，所指的是两种根本不同性质的电路。只是在翻译成中文时没有加以区分，所以容易混淆。各种触发器都具有两个可以自行保持的稳定状态，并且可以根据需要置成0或1状态。而施密特触发器的输出状态始终都是由当时的输入状态决定的，没有记忆状态。它的性能特点仅在于输入电压在上升过程中引起输出状态改变时的阈值电压VT+和下降过程中引起输出状态改变时的阈值电压VT--不相同，而且由于输出状态改变过程中有正反馈作用，所以输出电压变化的边沿很陡。
存储器和寄存器的区别,存储器和寄存器都是用来存储信息的，但它们的结构和工作是不同的。寄存器电路结构的特点是每个存储单元的输入和输出都接到一个引脚上，可以直接与外界连接，它可以最方便、快捷地与外电路交换数据。由于制作工艺的限制，集成电路的引脚数目不可能太多，所以每个寄存器的集成电路里包含的存储单元数目不会太大，无法实现大量数据的存储。存储器电路的结构特点是采用了公用的输入与输出电路，只有被输入地址代码指定的存储单元才能通过输入与输出电路的外电路数据交换。因此，就可以在不增加输入与输出引脚的条件下大量的增加集成电路内部的存储单元，制成大存储容量的存储器芯片。存储器的写入和读出操作就不像寄存器那样简单而直接。首先要输入指定地址的代码，经过地址译码器译码后找到对应的存储单元，然后才能对指定的存储单元进行写入或读出操作。
用存储器来设计组合逻辑电路时，应当如何选取变量输入端和函数输出端？,用存储器设计组合逻辑电路时，在知道了组合逻辑函数的真值表以后，如果把输入变量看作存储器的地址输入信号，把存储器的数据输出端看作是函数输出端，那么函数的真值表也就是存储器的数据表。因此选地址输入端作为变量输入端，选数据输出端作为函数输出端。
D/A转换器的应用,1．用于组成波形发生器1）分析给定的波形发生器电路 ：首先找出D/A转换器输入的数字序列数值，然后算出与这些数字量对应的输出模拟电压数值，再将这些模拟电压作为输出波形的幅值，按时间顺序画出波形，就得到了输出电压波形。2）设计产生指定波形的波形发生器电路：在一个完整的波形周期内按一定的时间间隔取一系列的采样点；选定一个最小量化单位，将每个采样点上波形的幅值量化，算出对应的数字量；将这些数字量顺序地存入存储器的地址中，并将存储器的数据输出作为D/A转换器的数字量输入；顺序地读出存储器的数据并不断的循环，在D/A转换器的输出端就得到了所要求的电压波形。2．用于组成增益可编程放大器负反馈电压放大器中，电压放大倍数（增益）为AV  = - RF / R1。只要以D/A转换器作为可编程电阻取代R1或RF，就能构成增益可编程放大器。这里所说的“编程”就是为D/A转换器设定输入数字量D，通常是将数字量D存入一个寄存器中，然后将寄存器的输出加到D/A转换器上。
大规模集成电路的设计流程包括哪些,需求分析、系统设计、体系结构设计、功能设计、逻辑设计、可测性设计、版图（或软件）设计等
大规模集成电路的体系结构设计的三要素为哪些,建模，探索，细化。
高位综合的定义与优势有哪些, 高位综合是指从算法级描述自动生成RTL级描述的过程。与人工设计相比，高位综合不仅可以尽可能地缩短开发周期，而且可以生成在面积、性能、功耗等方面表现出色的电路。
逻辑综合是什么样的过程,逻辑综合就是将RTL描述变换为门电路，根据面积或延迟进行最优化，并进行特定工艺单元库映射的过程。
构造化法是目前可测性设计的主要方法，具体可细分为哪些,可以细分为：扫描测试法、边界扫描测试法、内建自测试法、静止电源电流法。
布局布线的步骤分为哪些,布图规划、电源布线、布局（设计）、时钟布线、布线（设计）等。
为了进行时序验证、功耗验证、信号完整性验证及电子迁移性验证，需要从版图结果中提取什么,为了进行时序验证、功耗验证、信号完整性验证及电子迁移性验证，需要从版图结果中提取布线寄生参数。
什么是等值面,等值面是所有具有相同数值的点组成的面，空间中所有的点均有等值面通过，所有的等值面均互不相交，同一个常数值可以有多个互不相交的等值面。
什么是矢量线,矢量线（通量线）即一系列有方向的曲线，线上每一点的切线方向代表该点矢量场方向，而横向的矢量线密度代表该点矢量场大小。例如，电场中的电力线、磁场中的磁力线。
右手法则与右手螺旋法则是什么,右手法则又叫右手螺旋法则。右手定则是指当食指指向矢量A的方向，中指指向矢量B的方向，则大拇指的指向就是矢量积C=A*B的方向。
什么是电偶极子,电偶极子是电介质中的分子在电场的作用下所形成的一对等值异号的点电荷。
电偶极矩矢量是如何定义的,电偶极矩矢量大小等于点电荷的电量和间距的乘积，方向由负电荷指向正电荷。
什么是电磁场边界条件,边界条件由麦克斯韦方程组的积分形式出发，得到的到场量在不同媒质交界面上应满足的关系式（近似式）。边界条件是在无限大平面的情况得到的，但是它们适用于曲率半径足够大的光滑曲面。
直接积分法的基本概念是什么,直接求解一维电位分布所满足的二阶常微分方程，即直接求解一维的泊松方程（有源区）或一维的拉普拉斯方程（无源区）的方法。
分离变量法的基本概念,将待求的多变量的未知函数分离成多个单变量的函数后分别进行求解的方法。
什么是镜像法,导体平面和导体球面的镜像电荷是如何确定的。
导体球面的镜像法特点有哪些,电荷在接地球的外部时，总的感应电荷等于镜像电荷，但是电量小于实际的电荷。电荷在接地球壳内部时，总的感应电荷也是等于镜像电荷，其电量也等于实际的点电荷的电量。
静电比拟法是什么，有哪些好处,静电比拟法是借助静电场的计算方法或者计算结果来得到导体内恒定电场问题的解。或者借助已有的导体内恒定电场的计算或实验结果得到静电问题的解。用处：根据静电比拟法可知电容器中电流分布。
坡印亭定理及其物理意义,电磁波的传播伴随着电磁能量的传递。或者说，电磁能量以电磁波的形式在空间传播以送到远方的接收点。电磁能量在传播的过程中满足能量守恒定律。能量守恒定律能量既不会凭空产生，也不会凭空消失，它只能从一种形式转化为另一种形式，或者从一个物体转移到另一个物体，在转化或转移的过程中，能量的总量不变。
什么是均匀平面波的极化,极化（偏振）空间各点的电场强度矢量随时间变化的特性或各点的电场强度矢量的顶点在一个周期内在等相位面内画出的轨迹的形状。
均匀平面波的极化有什么特点,(1)电场的极化就是磁场的极化；（2）不同的位置处，极化的形式完全相同，只是变化的起始点不同；（3）均匀平面波的极化可以分为线极化、圆极化和椭圆极化三种，而圆极化和椭圆极化又分为右旋（正旋）极化或左旋（反旋）极化。
什么是线极化,当均匀平面波的电场的两个分量的初相位是同相或者反相时，对应的均匀平面波是线极化波。
什么是圆极化,当均匀平面波的电场的两个分量的幅度相等且初相位相差90度时，对应的均匀平面波是圆极化波。
什么是右旋圆极化波和左旋圆极化波,将大拇指指向波的传播方向，其余的四指指向电场矢量顶点的旋转方向，符合右手螺旋关系的称为右旋（正旋）极化波，符合左手螺旋关系的称为左旋（反旋）极化波。
什么是色散与导电媒质的色散,色散是由于实际中的信号总是含有不同的频率分量，如果这些不同的频率分量的相速不同的话，将会导致信号不能正常传播，出现失真。这种现象称为色散（或频散）现象。色散媒质是具有色散现象的媒质就称为色散媒质。由于在导电媒质中，电磁波的相速不是常数，所以导电媒质就是一种色散媒质。当电磁波在无限大的理想介质中传播时，其相速是与频率无关的常数，因此不会出现色散。
什么是趋肤效应,趋肤效应当电磁波垂直进入良导体后，场强以及电流密度随着电磁波透入导体深度的增加而迅速衰减。场强以及电流密度主要分布在导体表面，这种现象就是所谓的“趋肤效应”。
什么是斜入射,均匀平面波以任一角度向理想介质平面入射。
什么是入射面,由入射线和界面法线所确定的平面，也即入射线、反射线、折射线和分界面的法线所共有的平面。
什么是垂直极化波的斜入射,入射波的电场垂直于入射面。
什么是平行极化波的斜入射,入射波的电场平行于入射面。
请简述述亥姆霍兹定理,亥姆霍兹定理研究一个矢量场，必须研究它的散度和旋度，才能确定该矢量场的性质。
电偶极子在匀强电场中和非匀强电场中会受作怎样的运动,电偶极子在匀强电场中受一个力矩作用，发生转动；非匀强电场中，不仅受一个力矩作用，发生转动，还要受力的作用，使 电偶极子中心 发生平动，移向电场强的方向。
分离变量法的基本步骤有哪些,具体步骤是 1、先假定待求的位函数由两个或三个各自仅含有一个坐标变量的乘积所组成。2、把假定的函数代入拉氏方程，使原来的偏微分方程转换为两个或三个常微分方程。解这些方程，并利用给定的边界条件决定其中待定常数和函数后，最终即可解得待求的位函数。
叙述什么是镜像法与其关键和理论依据,镜像法是用等效的镜像电荷代替原来场问题的边界，其关键是确定镜像电荷的大小和位置，理论依据是唯一性定理。
试写出波的极化方式的分类,波的极化方式的分为圆极化，直线极化，椭圆极化三种。
试简要说明导电媒质中的电磁波具有什么样的性质（设媒质无限大）,导电媒质中的电磁波性质有电场和磁场垂直；振幅沿传播方向衰减；电场和磁场不同；以平面波形式传播。
描述天线特性的参数有哪些, 描述天线的特性能数有辐射场强、方向性及它的辐射功率和效率。
天线辐射的远区场有什么特点,天线的远区场的电场与磁场都是与 1/r成正比，并且它们同相，它们在空间相互垂直，其比值即为媒质的本征阻抗，有能量向外辐射。
