HXGH1-10型环网柜有（）余种标准接线。,10,30,50,以上都不对,B
箱式变电站的优点之一是（）。,占地面积小,通过容量大,供电线路多,以上都不对,A
高压/低压预装箱式变电站适合用于（）。,大型用户的总变电站内,居住分散的偏远山区,人口稠密的居民区,以上都不对,C
XGW2-12箱式变电站应用于（）系统。,6kV,10kV,12kV,以上都不对,B
我国目前运行的葛上直流输电线，其电压等级为（）,＋500KV、,＋750KV、,±500KV,以上都不对,C
我国目前最大的水利发电厂是（）,龙羊峡,白山,三峡水电厂,葛洲坝水电厂,C
统计资料表明，在电力系统稳定破坏性事故中的直接原因中，因工作人员过失引起的占（）,32％,28％,17％,9％,A
按规定，容量在（）MW及以上电网正常运行时，频率的偏移不得超过±0.2HZ,5000,3000,10000,1500,B
潮流计算中，一段输电线两端之间的功率角是（），其单位是弧度。,线路两侧电压的相位差,线路中负荷电流滞后于端电压的角度,度,弧度,A
当系统频率发生变化后，发电厂依据调度员命令增减负荷，属于频率的（）调整,一次,二次,三次,四次,B
对电力系统的基本要求是( ) ,保证对用户的供电可靠性和电能质量，提高电力系统运行的经济性，减少对环境的不良影响；,保证对用户的供电可靠性和电能质量；,保证对用户的供电可靠性，提高系统运行的经济性；,保证对用户的供电可靠性\,A
停电有可能导致人员伤亡或主要生产设备损坏的用户用电设备属于( ) ,一级负荷,二级负荷,三级负荷,特级负荷,A
对于供电可靠性，下述说法中正确的是( ) ,所有负荷都应当做到在任何情况下不中断供电；,一级和二级负荷应当在任何情况下不中断供电；,除一级负荷不允许中断供电外，其他负荷随时可以中断供电；,一级负荷在任何情况下都不允许中断供电、二级负荷应尽可能不停电，三级负荷可以根据系统运行情况随时停电,D
衡量电能质量的技术指标是( ) ,电压偏移、频率偏移、网损率,电压偏移、频率偏移、波形畸变率,厂用电率、燃料消耗率、网损率,厂用电率、网损率、电压畸变率,B
用于电能远距离输送的线路称为( ) ,配电线路,直配线路,输电线路,输配电线路,C
关于变压器，下述说法中错误的是( ) ,对电压进行变化，升高电压满足大容量远距离输电的需要，降低电压满足用电的需求,变压器不仅可以对电压大小进行变化，也可以对功率大小进行变换；,当变压器原边绕组与发电机直接相连时（发电厂升压变压器的低压绕组），变压器原边绕组的额定电压应与发电机额定电压相同；,变压器的副边绕组额定电压一般应为用电设备额定电压的1.1倍。,B
中性点不直接接地系统，发生单相短路故障，非故障相电压上升为( ) ,√3 倍的线电压,√2   倍的线电压,√3  倍的相电压,√2,C
如图所示的电力系统中，变压器T1的额定变比应为( ) ,242/121/11KV,220/121/11KV,220/110/10KV,242/121/10KV,B
我国电力系统的额定电压等级为( ) ,3、6、10、40、110、220（KV）,3、6、10、30、66、110、220（KV）,3、6、15、110、330（KV）,3、6、10、35、60、110、220、330、500（KV）,D
电力系统电压的单位常采用( ) ,W,KV,A,Ω,B
目前电能的主要输送方式是( ) ,直流,单相交流,三相交流,多相交流,C
我国目前交流最高电压等级是( ) ,1000Kv,±1000Kv,800kV,±800Kv,A
我国目前直流最高电压等级是( ) ,1000Kv,±1000Kv,800kV,±800kV,B
我国目前交流最高电压等级是( ) ,1000Kv,±1000Kv,800kV,±800Kv,A
我国110kV以上电力系统中性点通常采用的运行方式是( )。 ,中性点不接地,中性点经消弧线圈接地,中性点直接接地,以上都不对,C
电力系统中性点经消弧线圈接地时，应采用的补偿方式为( ) ,过补偿,欠补偿,全补偿,全补偿或欠补偿,A
下列不是闭式网的是( ) ,两端供电网,环网,无备用接线的放射型网络,有备用接线的放射型网络,C
一台变压器的额定变比为110/11KV，它是( ) ,升压变,降压变,三绕组变压器,以上都不对,B
采用分裂导线后，与同截面的普通导线相比，其线路对地电容( )。 ,增大,减小,不变,不确定,A
架空输电线路全换位的目的是( ) ,使三相线路的电阻参数相等,使三相线路的电抗和电纳参数相等,减小线路电抗,减小线路电阻,B
架空输电线路的电抗与导线之间几何平均距离的关系为( ) ,几何平均距离越大，电抗越大,几何平均距离越大，电抗越小,几何平均距离大小与电抗无关,改变导线之间的几何平均距离可以明显改变线路的电抗,A
在输电线路参数中属于耗能参数的是( ) ,电抗、电阻,电纳、电阻,电导、电抗,电阻、电导,D
架空输电线路采用分裂导线的目的是( ) ,减小线路电抗,增大线路电纳,减小线路电阻,改善输电线路的电晕条件,A
架空输电线路的电纳和导线之间几何平均距离的关系为( ) ,几何平均距离越大，电纳越大,几何平均距离越大，电纳越小,几何平均距离大小与电纳无关,改变导线之间的几何平均距离可以明显改变线路的电纳,B
变压器参数    由试验数据( )确定。P30 ,ΔPK,ΔP0,U.K.%,I.0%,B
变压器的电抗参数XT由实验数据( )确定。 ,ΔPK,ΔP0,U.K.%,I.0%,C
变压器的电纳参数B.T 由实验数据( )确定。 ,ΔPK,ΔP0,U.K.%,I.0%,D
变压器的电阻参数，由实验数据( )确定。 ,ΔPK,ΔP0,U.K.%,I.0%,A
关于中等长度线路下述说法中错误的是( ) ,长度为100KM~300KM的架空输电线路属于中等长度线路,潮流计算中中等长度线路采用集中参数π型等值电路作为数学模型,潮流计算中中等长度线路可以忽略电导和电纳的影响,潮流计算中中等长度线路可以不考虑分布参数的影响,C
电力系统等值电路中，所有参数应为归算到同一电压等级（基本级）的参数，关于基本级的选择，下述说法中正确的是（  ） ,必须选择最高电压等级作为基本级,在没有明确要求的情况下，选择最高电压等级作为基本级,在没有明确要求的情况下选择最低电压等级作为基本级,选择发电机电压等级作为基本级,B
采用标么制计算时，只需要选择两个电气量的基准值，其它电气量的基准值可以根据它们之间的关系导出，通常的选择方法使 ） ,选择功率和电压基准值,选择功率和电流基准值,选择功率和阻抗基准值,选择电压和阻抗基准值,A
关于电力系统等值电路参数计算时，变压器变比的选择，下述说法中正确的是（ ,精确计算时采用实际变比，近似计算时采用平均额定变比,近似计算时，采用实际变比；精确计算时采用平均额定变比,不管是精确计算还是近似计算均应采用额定变比,不管是精确计算还是近似计算均应采用平均额定变,A
潮流计算主要是计算( ) ,电流和阻抗,电流和电压,电流和功率,电压和功率,D
电力系统分析中，有功功率的单位常用( ) ,VAR,MW,MVA,V,B
表达式U表示三相系统的( ) ,相电压,线电压,相电流,线电流,B
无功功率通过线路电阻时( )P47 ,产生有功功率损耗,产生无功功率损耗,不产生有功功率损耗,既不产生有功功率损耗也不产生无功功率损耗,A
电力系统在输送功率及距离不变的条件下，则功率损耗随电压升高而( )。 ,增大,减少,不变,无法确定,B
电力网线损率是指电力网的损耗电量与( )之比。 ,发电量,供电量,售电量,厂用电量,B
为了降低电能损耗，可以考虑( )。 ,降低负荷的功率因数,适当切除一部分负荷,合理地投入变压器的运行台数,双回路线路切除一回,C
图示为一运行中的变压器，则有功功率( )。 ,P.>0,P.<0,P.=0,不能确定,A
如图所示，则( )。 ,P.>0，Q<0,P.<0，Q>0,P.>0，Q>0,P.>0，Q>0,B
若空载线路的首端电压U1=116kV，则末端电压( )。 ,U.2＞116kV,U2＝ 116K.V.,U2＜116kV,不能确定,A
图示线路的有功功率损耗为( )MW。 ,0.094,0.135,0.146   Ｄ 0.188,以上都不对,A
图示电网的功率分点为( ) ,"（E.▽,c▼）","（d▽,e▼ ）","（c▽,d▼）","（c▼,d▽）",C
电网如图所示，则循环功率( )。 ,=0,>0,<0,无法确定,C
两点间电压代数差称为( )P50 ,电压降落,电压偏移,电压损耗,电压调整,C
对于输电线路，当P2R+Q2X<0时，首端电压与末端电压之间的关系是( ) ,末端电压低于首端电压,末端电压高于首端电压；(空载）,末端电压等于首端电压；,不能确定首末端电压之间的关系。,B
变电所的运算负荷指的是( ) ,变压器低压侧的负荷加上变压器阻抗中的功率损耗,变压器低压侧的负荷加上变压器导纳中的功率损耗,变压器低压侧的负荷加上阻抗和导纳中的功率损耗,加上变电所高压母线的负荷以及高压母线所连线路电容功率之半,D
求无功功率分点的目的是( )。 ,找无功最大点,从该节点解开网络,求有功功率分点,求网络环流,B
对于两端供电网，如果两个电源点i、j的电压完全相等，那么线路中的初步功率( )。 ,不需考虑循环功率,需叠加由节点i流向节点j的循环功率,需叠加由节点j流向节点i的循环功率,等于零,A
某变电站有两台参数相同的变压器，下列说法错误的是( ) ,两台变压器并列运行时功率损耗一定大于一台变压器运行功率损耗,变压器的功率损耗随变电所负荷的变化而变化,当变压器的负荷大于临界负荷时，二台变压器运行比较经济。,当变压器的负荷小于临界负荷时，一台变压器运行比较经济。,A
在多级电压环网中必然有( )接入P62 ,串联变压器,并联变压器,串联电抗器,串联电容器,A
环形网络的循环功率( )P63   ,小于零,等于零,大于零,不确定,B
多级电压环网的循环功率( ) ,小于零,等于零,大于零,不确定,D
静止补偿器与电力电容器的一个不同处是前者( )。 ,能吸收无功,能发出无功,能发出有功,以上都不对,A
如图为电力系统综合负荷频率静态特性曲线，它说明( )。 ,负荷增加或减少，则系统频率随之上升或下降,频率上升或下降，则负荷吸收功率随之减少或增加,频率上升或下降，则负荷吸收功率随之增加或减少,以上都不对,C
调相机在欠励状态下将吸收( )。 ,感性无功,容性无功功率,有功功率,以上都不对,A
下列调压措施中最经济、最直接的调压方式是( ) ,改变发电机机端电压调压,改变变压器变比调压,改变电网中的无功功率分布调压,改变电网参数调压,A
在丰水季节一般应让水电厂作为( )。 ,基载厂,主调频厂,检修备用,以上都不对,A
静止补偿器的一个特点是( )。 ,既可吸收有功，也可发出无功,既可吸收有功，也可发出有功,既可吸收无功，也可发出无功,既可吸收无功，也可发出有功,C
改变变压器变比调压的实质是( )。 ,重新分配了系统无功,重新分配了系统有功,重新按比例分配了系统无功和有功,以上都不对,A
水电厂调频速度和火电厂调频速度一般具有如下关系：( )。 ,前者大于后者,前者小于后者,两者没有明显差别,以上都不对,A
发电机组在分配负荷时，应按如下原则进行，则能源耗量较少：( )。 ,按容量成正比分配,高效机组多带,耗量微增率相等,以上都不对,C
改变变压器分接头可以( )。 ,增加系统无功,调频,调压,以上都不对,C
以下设备均可作为无功电源使用的是( ) ,发电机、变压器、调相机,调相机、电容器、调速器,静止补偿器、电容器、发电机,以上都不对,C
下列负荷中需要消耗无功功率的是( ) ,白炽灯,电热器,异步电动机,以上都不对,C
采用并联电容器补偿( )。 ,即可调频，又可调压,即可降低线损，又可调压,即可增加有功，又可增加无功,以上都不对,B
电力系统无功电源不足，将引起电力系统的( )。 ,频率下降,频率上升,电压下降,以上都不对,C
调整发电机的有功出力，可通过下列方法完成( )。 ,调整发电机励磁电流,调整汽轮机进汽量或水轮机进水量,调整锅炉进煤量,以上都不对,B
中枢点调压方式一般分为三种：( )。 ,利用发电机调压、改变变压器变比调压、并联电容器调压,逆调压、顺调压、常调压,利用电容器调压、利用调相机调压、利用静止补偿器调压,以上都不对,B
经过一次调频，系统频率( )。 ,有所增加,有所减少,增减取决于负荷是减少还是增加,以上都不对,C
电力系统( )，对系统的电压运行水平有显著的影响。 ,有功功率平衡,无功功率平衡,电压平衡,以上都不对,B
电力系统的( )，对系统频率的运行水平有显著的影响。 ,有功功率平衡,无功功率平衡,电压平衡,以上都不对,A
利用改变变压器的变比调压的前提条件是：( )。 ,系统的有功功率充足,系统的无功功率充足,系统的无功功率缺乏,以上都不对,B
在大负荷时，提高中枢点的电压；在小负荷时，适当降低中枢点的电压。属于( )。 ,顺调压,常调压,逆调压,以上都不对,C
在大负荷时，适当中枢点的电压；在小负荷时，适当提高中枢点的电压。属于( )。 ,顺调压,常调压,逆调压,以上都不对,A
负荷功率大于电源功率时，系统频率将( )。 ,上升,下降,不变,以上都不对,B
负荷备用以下列方式存在( )。 ,冷备用,热备用,冷备用和热备用,以上都不对,B
一台同步发电机向一台同步电动机供电的简单网络中，当发电机减少出力时，系统负荷消耗的有功功率将（ ,增加,不变,减少,以上都不对,C
在洪水季节进入负荷曲线的顺序是( )。 ,核电站、火电站、水电站,火电站、水电站、核电站,核电站、水电站、火电站,水电站  核电站  火电站,D
电力系统频率的二次调整是通过( )进行的。 ,原动机的调速器,发电机的调频器,原动机的调压器,以上都不对,B
电力系统频率发生变化的根本原因是( ) ,电源功率大于负荷功率,负荷功率大于电源功率,电源功率不等于负荷功率,以上都不对,C
一台同步发电机向一台同步电动机供电的简单网络中，，当发电机增加出力时，系统负荷M.消耗的有功功率将（ ,增加,不变,减少,以上都不对,A
在枯水季节进入负荷曲线的顺序是( )。 ,核电站、火电站、水电站,火电站、水电站、核电站,核电站、水电站、火电站,以上都不对,A
一台正常运行中的发电机组的出力为其额定出力的80%，则这台发电机组具有( ) ,热备用和冷备用容量,热备用和国民经济备用容量,负荷备用和事故备用容量,以上都不对,C
电力系统频率的一次调整是通过( )进行的。 ,原动机的调速器,发电机的调频器,原动机的调压器,以上都不对,A
电力系统的电压对( )变化更敏感。 ,负荷有功功率,负荷无功功率,负荷视在功率,以上都不对,B
调频电厂选择的原则是( ) ,调整斜率、调整速度和经济性,调整宽度、调整速度和经济性,调整时间、调整速度和经济性,以上都不对,B
技术最小出力越大，发电机可调范围( )。 ,与其无关,越小,越大,以上都不对,B
一台发电机组的出力为其额定功率的80%，则这台发电机组具有( )。 ,负荷备用和部分事故备用容量,热备用和国民经济备用容量,热备用和冷备用容量    （无）    （有）,以上都不对,A
如果高压输电线路首、末端电压之间的关系为U1<U2、δ1>δ2，在忽略线路电阻影响的情况下，下述说法中正确的是( )。 ,有功功率从首端流向末端、无功功率从末端流向首端；,有功功率和无功功率都是从首端流向末端；,无功功率从首端流向末端、有功功率从首端流向末端。,有功功率和无功功率都从末端流向首端,A
电力系统的供电负荷加上厂用电之和，称为( )。P12 ,发电负荷,用电负荷,工业负荷,供电负荷,A
作为安排日发电计划、各发电厂发电计划重要依据的负荷曲线是( )。P13 ,日负荷曲线,年最大负荷曲线,年持续负荷曲线,以上都不对,A
采用同一型号导线的三相架空输电线路，相间距离增大时，其电抗( ) ,增大,减小,不变,无法确定,A
架空输电线路采用分裂导线的目的是( ) ,减小线路电抗,减小线路电阻,减小线路电容,增大线路电抗,A
相同截面的导线，使用的电压等级越高，其电阻( )         ,一样,越大,越小,都不对,C
采用分裂导线后，与同截面的普通导线相比，其线路对地电容( )。 ,增大,减小,不变,不确定,A
输电线路的末端电压偏移是指( ) ,线路始端电压与末端电压的相量差,线路始端电压与末端电压的数值差,线路始端电压与额定电压的数值差,线路末端电压与额定电压的数值差,D
高压电力网中有功功率的流动方向为( ) ,从电压超前的一端向电压滞后的一端,从电压滞后的一端向电压超前的一端,从电压高的一端向电压低的一端,从电压低的一端向电压高的一端,A
高压电力网中无功功率的流动方向为( ) ,从电压超前的一端向电压滞后的一端,从电压滞后的一端向电压超前的一端,从电压高的一端向电压低的一端,从电压低的一端向电压高的一端,C
若选取系统基准容量为100MVA，基准电压为100kV，那么标幺值为0.2的电抗有名值是( ) ,20,0.2,0.002,1,A
已知一系统综合负荷频率自动调节效应系数KL=82MW/Hz。频率f上升0.0862Hz时，则负荷吸收功率（ ,减少7.068,增加7.068,增加3.534,以上都不对,B
电力系统的电源单位调节功率KG=1234MW／Hz ，负荷的KL＝ 69MW/H.z。现负荷增加180MW经一次调频后，频率下降了（ ,0.138Hz,0.146Hz,0.154Hz,以上都不对,A
变压器电抗XT的物理意义是表征( )的一个参数。 ,铁损,主磁通,铜损,漏磁通,D
电力系统分析中，阻抗指的是( ) ,一相等值阻抗,二相阻抗,三相阻抗,三相不等值阻抗,A
有三绕组变压器的容量比为：100/100/50，且ΔPk(1-3)=18kW（未归算）则归算到高压绕组容量下的短路损耗为( )K.W。 ,18,36,54,72,D
在输电线路参数中属于储能参数的是( )。 ,电抗、电纳,电纳、电阻,电导、电抗,电阻、电导,A
当采用标幺值计算时，三相功率的标幺值和单相功率的标幺值关系为( )。 ,3倍,2倍,相等,倍,C
电力线路中，电阻R主要反映线路带压运行后产生的( ) ,热效应,电场效应,磁场效应,电晕损耗,A
用于连接220kv和110kv两个电压等级的降压变压器，其两侧绕组的额定电压应为( )。 ,220kv、110kv,220kv、115kv,242Kv、121Kv,220kv、121kv,D
两端电源电网初步潮流分析的目的是求( ) ,有功分点,无功分点,电压损耗,功率损耗,B
环网潮流的自然功率是按线路的( )来分布的 ,阻抗,电抗,电阻,导纳,A
辐射形网络中潮流取决于( ) ,各负荷点的负荷,各负荷点的电阻,各负荷点的电抗,各负荷点的阻抗,A
变压器中电压降落纵分量△UT主要取决于变压器的( ) ,电阻,电抗,电导,电纳,B
网格中某些节点的功率是由两侧向其流动，这种节点称为( ) ,电压分点,电流分点,功率分点,电抗分点,C
线路串联电容的作用是( ) ,以其容抗抵偿线路的感抗,限流，避免该线路过载,产生环流或强制循环功率,提高暂态稳定,A
输电线路上消耗的无功功率为( ) ,感性,阻性,容性,不确定,D
高压输电线路空载运行时，末端电压比首端电压( ) ,相等,高,低,以上情况都有可能,B
电压损耗是指线路的( ) ,始末两端电压的向量差；,端部母线实际电压与额定电压的数值差；,末端空载电压与负载电压的数值差；,始末端电压数值差,D
电晕损耗影响输电线路的哪个参数( )。 ,电阻,电抗,电导,电纳,C
水力发电厂的缺点( ) ,发电成本高,生产过程复杂,投资大、工期长,环境污染程度高,C
电力系统的电源单位调节功率KG=1234MW／Hz ，负荷的KL＝ 69MW/H.z。现负荷增加180MW经一次调频后，频率下降了( )。 ,0.138Hz,0.146Hz,0.154Hz,以上都不对,A
一台容量为200MW，额定频率为50HZ的发电机的调差系数为2.5，其单位调节功率是( ) ,1.6MW/HZ,160MW/HZ,1.6MW/HZ,200MW/HZ,B
关于电力系统的有功备用容量，下述说法中错误的是( )。 ,根据电力系统的实际情况，检修备用容量可能不需要设置；,事故备用必须全部为热备用；,负荷备用应为热备用；,国民经济备用应为冷备用。,B
我国电力系统的额定频率为( ) ,30HZ,40HZ,50HZ,60HZ,C
电压中枢点是指( ) ,反应系统电压水平的主要发电厂母线,反应系统电压水平的主要变电所母线,(A)和(B),电机输出线,C
35kV配电网串联电容的目的是( ) ,电压调整,频率调整；,提高系统运行稳定性,经济调度,A
调相机在欠励状态下将吸收( )。 ,感性无功,容性无功功率,有功功率,以上都不对,A
用改变变压器的变比调压的前提条件是：( )。 ,系统的有功功率充足,系统的无功功率充足,系统的无功功率缺乏,系统的有功功率缺乏,B
"变压器分接头主抽头电压为220kV,若选择的分接头电压为225.5K.V，则抽头为( ) ",（1+2.5%）220,（1+2×2.5%）220,（1-2.5%）220,（1-2×2.5%）220,A
电容器并联在系统中，它发出的无功功率与并联处的电压( ) ,一次方成正比,平方成正比,三次方成正比,无关,B
变压器变比是指 ()。 ,一次、二次侧绕组匝数之比,一次、二次侧绕组功率之比,一次、二次侧绕组电流之比,以上都不对,A
直流电机电刷处在几何中性线上，当磁路不饱和时的电枢反应是 (),交轴电枢反应,直轴去磁,交磁和直轴去磁,直轴加磁,A
若他励直流发电机额定点时转速升高20%，则空载时发电机的端电压将升高 (),小于20%,20%,大于20%,40%,A
有一台两极绕线式感应电动机要想把转速调高，采取下列哪一种调速方法是可行的 (),变极调速,转子中串入电阻,变频调速,以上都不对,C
一台直流发电机，其电枢绕组内的电流为 (),直流电流,交流电流,正弦电流,以上都不对,B
"设感应电动机定子旋转磁动势的转速为n1, 转子电流产生的旋转磁动势相对定子的转速为n2, 则 ()",n2＞n1,n2＜n1,n2＝n1,以上都不对,C
欲使变压器的Δ=0，那么负载性质应为 (),电阻电感性负载,纯电阻负载,纯感性负载,电阻电容性负载,D
变压器制造时，硅钢片接缝变大，那么此台变压器的励磁电流将 (),减小,不变,增大,不确定,C
深槽和双笼感应电机的共同特点是 (),改善运行特性,改善起动特性,提高效率,以上都不对,B
一台单相变压器进行短路试验，在高压侧达到额定电流测得的损耗和在低压侧达到额定电流测得的损耗 (),不相等,相等,折算后相等,基本相等,B
直流电机的电枢绕组采用单叠绕组时，并联支路数 (),2a=2p,2a=0.5p,2a=p,2a=4p,A
并励直流发电机的额定输出功率等于 (),UN,INηN,UN,IN/ηN,C
直流电机运行在电动机状态时，其 (),Ea＞U,Ea＝0,Ea＜U,Ea＝U,C
一台三相异步电动机运行在s=0.02时，则由定子通过气隙传递给转子的功率中有 (),2%是电磁功率,2%是机械功率,2%是机械损耗,2%是转子铜耗,D
当绕线式异步电动机的电源频率和端电压不变，仅在转子回路中串入电阻时，最大转距m和临界转差率sm将 (),Tm和sm均保持不变,Tm减小，sm不变,Tm不变，sm增大,Tm和sm均增大,C
凸极同步发电机附加电磁功率产生的原因是 () ,交轴励磁绕组,交轴上的磁阻比直轴上的磁阻大,直轴上的磁阻比交磁阻大,交轴上的磁阻等于直轴上的磁阻,B
直流并励电动机起动时，励磁回路的调节电阻阻值应置于 (),任意位置,中间位置,零位置,最大位置,C
并联于大电网上的同步发电机，当电流落后于电压运行时，若逐渐增大励磁电流，则电枢电流 (),渐大,减小,先增大后减小,先减小后增大,A
如果不计定子电阻效应，同步发电机运行在什么条件下有= (),电阻性负载,电阻、电感性负载,纯感性负载,电阻、电容性负载,B
要增加并联在电网上运行的发电机的有功输出，可以 (),增加励磁电流使E增加,增加原动机的动力因素，使功角增加,减小励磁电流使E减小,加快原动机转速使n＞n,B
判断一台同步电机运行于发电机状态的依据是 (),E＞U,滞后于,E＜U,领先于,D
三相异步电动机负载增加时，会使 (),转子转速降低,转子电流频率降低,转子电流产生的磁势对转子的转速减小,转子电流产生的磁势对定子的转速增加,A
异步电动机空载电流比同容量变压器大的原因是 (),异步电动机的损耗大,异步电动机是旋转的,异步电动机有气隙,异步电动机的漏抗大,C
三相异步电动机转子转速减小时，转子磁势对空间的转速将 (),增加,保持不变,减小,为0,B
三相异步电动机的最大转矩大小 (),与转子电阻无关,与电源电压无关,与电源频率无关,与极对数无关,A
转差率为s的异步电动机，其s将等于 (),定子铜耗,总机械功率,机械功率,转子铜耗,D
三相异步电动机定子通入频率为f的电流，当转子不动时，其转子频率f为 (),f=f,f=0,f＜f,f＞f,A
交流双层绕组中，每相串联匝数同每个线圈的匝数、每极每相槽数q、极对数p、并联支路数2a之间的关系是 (),N=,N=,N=2a·2p·q·N,N=2a·p·q·N,A
变压器负载运行时与空载运行时相比，变比(),变大,变小,相等,基本不变,C
若外加电压随时间正弦变化，当磁路饱和时，单相变压器的励磁电流随时间变化的波形是 (),矩形波,平顶波,正弦波,尖顶波,D
变压器空载时，线路电压增加，则铁耗将 (),增加,不变,减少,先增加后减小,A
一台变压器额定频率为50，如果接到60的电源上，且额定电压的数值相等，那么此变压器铁芯中的磁通 (),增加,不变,减小,先减小后增大,A
并联于大电网上的同步发电机，当运行于超前功率因数情况下，若逐渐增大励磁电流，则电枢电流是 (),逐大,逐小,先增大后减小,先减小后增大,D
同步发电机稳态短路电流不很大的原因是 (),漏阻抗较大,短路电流产生去磁作用较强,电枢电阻较大,电枢反应产生增磁作用,D
同步发电机运行于-90°＜ψ＜0°时，其电枢反应的性质是(),直轴去磁,直轴增磁,直轴去磁兼交磁,直轴增磁兼交磁,D
拆换异步电动机的定子绕组时，若把每相匝数减少了，气隙中每极磁通(),增加,不变,减少,0,D
如果一台三相异步电动机因磁路局部饱和，漏抗发生变化，这时电机的最大转矩 (),不变,增加,减少,0,D
三相异步电动机定子接三相交流电源，空载运行，气隙磁通φ大小主要取决于(),电源电压,磁路饱和程度,气隙大小,定子绕组漏阻抗大小,A
三相异步电动机采用-△换接起动，只适用于(),罩极式电机,绕线式电机,正常运行为△接线的电机,正常运行为Y接线的电机,C
三相异步电动机转子电流所产生的磁势相对于定子的转速为(),n,n,sn,0,A
三相异步电动机运行时，其转差率所在范围是(),-1＜S＜0,1＜S＜∞,-∞＜S＜0,0＜S＜1,D
"单层交流绕组中，每相串联匝数同每个线圈匝数c，每极每相槽数q、极对数p,并联支路数2a之间的关系是()",N=,N=,N=2P·q·2a·N,N=2a·P·Nq,B
"一台变比为的变压器，从高压侧做空载试验加额定电压测得的励磁阻抗为,那么从低压侧做空载试验加额定电压测量到的励磁阻抗应为()",Z,KZ,Z/K,Z/K,D
",y联接的组式变压器中主磁道φ的波形是 ()",正弦波,尖顶波,平顶波,矩形波,B
，y联接的三相组式变压器，相电势的波形是(),正弦波,尖顶波,平顶波,矩形波,C
一台单相变压器，进行空载试验，当高压侧加额定电压进行测量，或低压侧加额定电压进行测量，所测得的损耗(),相差k倍,折算后相等,相等,近似相等,C
以下哪些电气工程要素不能使用欧姆定律进行分析？,电容器,电感器,晶体管,电阻,C
根据基本电能，带电球壳的常数是多少？,球壳外电势,球壳内电势,球壳外电场,球壳内电场,B
带电球壳中的静电屏蔽发生在哪里？,当球壳外电势为零时,当球壳内电势为零时,当球壳外电场时,球壳内电场,D
以下哪项是交流电路中峰值的正确表示？,RMS 值/峰值系数,RMS 值*形状系数,RMS 值/形状系数,RMS 值*峰值系数,D
根据电能基础，以下关于交流电的说法正确的是？,频率为零,幅度随时间变化,可以以较小的功率损失传输到更远的距离,双向流动,A
如果交流信号的频率为 100 Hz，则 2 秒内会产生多少个周期？,50,100,150,200,D
电子的漂移速度相对于电场的方向会发生什么变化？,与电场方向相同,与电场方向相反,与正方向电场垂直,与负方向电场垂直,B
如果30的电流通过0.5m 2的横截面积，金属的电流密度是多少？,7.5 A/m2,15 A/m2,60 A/m2,120 A/m2,C
如果R 1的值大于R2 ，关于R1和R2串联所消耗的功率，以下哪一项是正确的？,R1将消耗更多的功率,R2将消耗更多的功率,R1和 R2将消耗相同的功率,消耗的功率之间无法建立关系,A
带电球壳的零是多少？,球壳外电势,球壳内电势,球壳外电场,球壳内电场,D
电势是一个什么样的量？,矢量,张量,标量,无量纲量,C
力线密集表示什么？,强电场,弱电场,强电势,弱电势,A
一点的电场方向是什么？,沿垂直于电场的线,沿与电场相切的线,电场没有方向,电场有随机方向,B
变压器中互感电动势 E2的大小是多少？,与磁通变化率和次级匝数成正比,与磁通变化率和次级匝数成反比,与磁通变化率成正比，与次级匝数成反比,成反比与磁通变化率成正比，与次级匝数成正比,A
当次级匝数小于初级匝数时，变压器会发生以下哪一种情况？,电压升高,电压降低,功率升高,功率降低,B
如果每匝电动势为 10V，200/1000 V 变压器的初级匝数是多少？,5,10,20,40,C
以下哪项是交流电路平均值的正确表示？,有效值/波形因数,有效值*波形因数,有效值/峰值因数,有效值*峰值因数,A
谁定义了电流并设计了测量电流的方法？,迈克尔·法拉第,安德烈·玛丽·安培,尼古拉·特斯拉,亚历山德罗·安东尼奥·沃尔塔,B
2库仑的电荷由多少个电子组成？,6.24 * 1018 个电子,12.48 * 1018 个电子,1.602 * 1019 个电子,3.204 * 1019 个电子,B
关于直流电，下列哪项是正确的？,幅度恒定,频率为零,可以以较小的功率损失传输到更远的距离,单向流动,C
谁第一次目睹了磁力的作用？ ,汉斯·克里斯蒂安·奥斯特德,亚历山大·格雷厄姆·贝尔,迈克尔·法拉第,古斯塔夫·罗伯特·基尔霍夫,A
关于电导率，下列哪一项是正确的？ ,电流密度与电场之比,电流密度与电场的乘积,电场与电流密度的比,电流密度乘积的倒数和电场,A
电流流动的原因是什么？ ,质子,电子,原子核,质子和电子,B
根据 KCL，以下哪项必须为零？,闭环电流代数和,闭环功率代数和,进入和离开结点的电流代数和,输入和输出电压的代数和,C
一点的电场可以有几个方向？,零,一个,两个,许多,B
当次级匝数大于初级匝数时，变压器中会发生以下哪种情况？ ,电压升高,电压降低,功率升高,功率降低,A
关于电气工程中的电压变比，下列哪项是正确的？,初级匝数与次级匝数之比,次级感应电动势与初级感应电动势之比,次级电流与初级电流之比,初级功率与次级功率之比,B
根据电气工程基础，关于变压器初级感应电动势，下列哪项是正确的？,初级匝数与每匝感应电动势的比,初级匝数与每匝感应电动势的乘积,次级匝数与每匝感应电动势的比,次级匝数与每匝感应电动势的乘积匝数和每匝感应电动势,B
当次级开路时，理想变压器的初级电路会吸收下列哪项电流？,次级电流,漏电流,励磁电流,工作电流,C
电气元件中的正功率表示什么？,元件正在吸收功率,元件正在供电,元件可以吸收或供电,元件既不吸收也不供电,A
